Physics,Chemistry,Math,Computer,English,Total Marks,Percentages %,Grades,GPA,Final Results
1,31,74,4,97,207.0,41.4,C,1.656,FAIL
68,61,21,74,64,288.0,57.6,C+,2.304,FAIL
23,74,36,47,26,206.0,41.2,C,1.648,FAIL
87,29,36,65,36,253.0,50.6,C+,2.024,FAIL
20,44,94,51,99,308.0,61.6,B,2.464,FAIL
88,30,33,69,13,233.0,46.6,C,1.864,FAIL
41,82,43,56,35,257.0,51.4,C+,2.056,PASS
28,79,54,11,35,207.0,41.4,C,1.656,FAIL
40,27,96,32,13,208.0,41.6,C,1.6640000000000001,FAIL
57,47,37,66,86,293.0,58.6,C+,2.344,PASS
19,73,82,64,97,335.0,67.0,B,2.68,FAIL
5,95,85,59,75,319.0,63.8,B,2.552,FAIL
74,11,99,77,51,312.0,62.4,B,2.496,FAIL
36,94,96,51,62,339.0,67.8,B,2.7120000000000006,PASS
89,59,64,78,16,306.0,61.2,B,2.448,FAIL
34,50,35,7,92,218.0,43.6,C,1.744,FAIL
20,37,13,35,66,171.0,34.2,NG,1.368,FAIL
68,12,21,7,11,119.0,23.8,NG,0.9519999999999998,FAIL
63,69,2,65,67,266.0,53.2,C+,2.128,FAIL
52,13,96,32,86,279.0,55.8,C+,2.232,FAIL
66,81,78,3,17,245.0,49.0,C,1.96,FAIL
44,86,92,10,66,298.0,59.6,C+,2.384,FAIL
46,10,92,30,10,188.0,37.6,C,1.504,FAIL
37,1,43,66,69,216.0,43.2,C,1.7280000000000002,FAIL
64,95,52,45,52,308.0,61.6,B,2.464,PASS
50,78,54,22,34,238.0,47.6,C,1.9039999999999997,FAIL
40,50,64,79,32,265.0,53.0,C+,2.12,FAIL
57,35,23,33,86,234.0,46.8,C,1.872,FAIL
10,73,35,36,38,192.0,38.4,C,1.536,FAIL
81,79,61,3,38,262.0,52.4,C+,2.096,FAIL
86,99,96,55,62,398.0,79.6,B+,3.184,PASS
71,44,65,22,33,235.0,47.0,C,1.88,FAIL
26,72,55,87,50,290.0,58.0,C+,2.32,FAIL
99,32,41,11,64,247.0,49.4,C,1.976,FAIL
50,59,49,18,74,250.0,50.0,C+,2.0,FAIL
34,98,68,87,94,381.0,76.2,B+,3.048,FAIL
8,94,76,0,20,198.0,39.6,C,1.584,FAIL
93,67,94,50,22,326.0,65.2,B,2.608,FAIL
49,63,45,41,24,222.0,44.4,C,1.776,FAIL
27,14,24,98,44,207.0,41.4,C,1.656,FAIL
77,4,13,2,81,177.0,35.4,C,1.416,FAIL
74,72,25,68,9,248.0,49.6,C,1.984,FAIL
13,82,48,30,27,200.0,40.0,C,1.6,FAIL
96,40,44,24,41,245.0,49.0,C,1.96,FAIL
60,70,92,31,20,273.0,54.6,C+,2.184,FAIL
40,1,91,12,84,228.0,45.6,C,1.824,FAIL
90,18,2,70,15,195.0,39.0,C,1.56,FAIL
51,69,47,94,72,333.0,66.6,B,2.664,PASS
54,99,46,95,38,332.0,66.4,B,2.656,PASS
76,78,25,96,85,360.0,72.0,B+,2.88,FAIL
69,9,95,36,52,261.0,52.2,C+,2.088,FAIL
41,28,77,13,68,227.0,45.4,C,1.8159999999999998,FAIL
83,25,74,81,82,345.0,69.0,B,2.76,FAIL
39,84,3,0,56,182.0,36.4,C,1.456,FAIL
43,89,4,22,81,239.0,47.8,C,1.912,FAIL
69,49,55,96,82,351.0,70.2,B+,2.8079999999999994,PASS
4,59,69,74,84,290.0,58.0,C+,2.32,FAIL
47,69,13,49,84,262.0,52.4,C+,2.096,FAIL
80,18,40,59,0,197.0,39.4,C,1.5759999999999998,FAIL
72,70,99,97,91,429.0,85.8,A,3.432,PASS
46,44,20,94,98,302.0,60.4,B,2.416,FAIL
24,45,63,32,45,209.0,41.8,C,1.672,FAIL
93,89,96,78,86,442.0,88.4,A,3.536,PASS
31,18,55,40,37,181.0,36.2,C,1.4479999999999997,FAIL
29,13,93,30,22,187.0,37.4,C,1.496,FAIL
5,24,20,66,57,172.0,34.4,NG,1.376,FAIL
30,55,25,29,62,201.0,40.2,C,1.608,FAIL
20,46,67,2,56,191.0,38.2,C,1.528,FAIL
96,61,5,29,64,255.0,51.0,C+,2.04,FAIL
95,20,47,92,11,265.0,53.0,C+,2.12,FAIL
35,11,23,30,70,169.0,33.8,NG,1.352,FAIL
25,49,90,0,21,185.0,37.0,C,1.48,FAIL
2,84,17,18,86,207.0,41.4,C,1.656,FAIL
73,91,66,54,48,332.0,66.4,B,2.656,PASS
38,12,22,75,48,195.0,39.0,C,1.56,FAIL
30,58,73,73,41,275.0,55.0,C+,2.2,FAIL
12,36,28,23,66,165.0,33.0,NG,1.32,FAIL
96,82,93,97,14,382.0,76.4,B+,3.056,FAIL
5,96,9,11,27,148.0,29.6,NG,1.184,FAIL
55,84,45,33,37,254.0,50.8,C+,2.032,FAIL
74,1,93,88,31,287.0,57.4,C+,2.296,FAIL
33,53,7,8,61,162.0,32.4,NG,1.296,FAIL
4,41,49,22,85,201.0,40.2,C,1.608,FAIL
69,24,42,15,21,171.0,34.2,NG,1.368,FAIL
49,11,94,99,71,324.0,64.8,B,2.592,FAIL
36,30,80,83,53,282.0,56.4,C+,2.256,FAIL
57,59,34,18,23,191.0,38.2,C,1.528,FAIL
52,36,49,93,80,310.0,62.0,B,2.48,PASS
41,43,3,91,58,236.0,47.2,C,1.888,FAIL
26,66,90,20,60,262.0,52.4,C+,2.096,FAIL
32,76,52,75,60,295.0,59.0,C+,2.36,FAIL
13,21,20,1,41,96.0,19.2,NG,0.768,FAIL
45,58,29,84,35,251.0,50.2,C+,2.008,FAIL
19,89,96,81,74,359.0,71.8,B+,2.872,FAIL
89,32,73,39,34,267.0,53.4,C+,2.136,FAIL
3,96,82,10,41,232.0,46.4,C,1.8560000000000003,FAIL
14,37,28,60,99,238.0,47.6,C,1.9039999999999997,FAIL
37,94,61,0,52,244.0,48.8,C,1.952,FAIL
9,89,51,10,82,241.0,48.2,C,1.928,FAIL
8,58,68,56,87,277.0,55.4,C+,2.216,FAIL
34,71,78,43,92,318.0,63.6,B,2.544,FAIL
9,24,30,99,70,232.0,46.4,C,1.8560000000000003,FAIL
32,22,4,89,79,226.0,45.2,C,1.808,FAIL
23,76,30,42,88,259.0,51.8,C+,2.072,FAIL
28,44,42,15,90,219.0,43.8,C,1.7519999999999998,FAIL
7,66,26,90,27,216.0,43.2,C,1.7280000000000002,FAIL
68,77,21,57,60,283.0,56.6,C+,2.264,FAIL
91,30,75,87,88,371.0,74.2,B+,2.968,FAIL
97,78,37,12,1,225.0,45.0,C,1.8,FAIL
9,63,67,68,47,254.0,50.8,C+,2.032,FAIL
80,26,22,74,45,247.0,49.4,C,1.976,FAIL
93,36,84,86,52,351.0,70.2,B+,2.8079999999999994,PASS
53,59,48,82,38,280.0,56.0,C+,2.24,PASS
96,53,67,26,48,290.0,58.0,C+,2.32,FAIL
51,4,72,92,17,236.0,47.2,C,1.888,FAIL
15,86,65,53,91,310.0,62.0,B,2.48,FAIL
15,77,61,75,59,287.0,57.4,C+,2.296,FAIL
62,48,43,73,70,296.0,59.2,C+,2.368,PASS
19,71,89,61,41,281.0,56.2,C+,2.248,FAIL
35,44,30,42,98,249.0,49.8,C,1.992,FAIL
14,66,98,81,85,344.0,68.8,B,2.752,FAIL
64,71,18,54,49,256.0,51.2,C+,2.048,FAIL
10,9,70,61,77,227.0,45.4,C,1.8159999999999998,FAIL
68,99,67,60,47,341.0,68.2,B,2.728,PASS
21,28,43,73,99,264.0,52.8,C+,2.112,FAIL
14,9,98,27,79,227.0,45.4,C,1.8159999999999998,FAIL
99,33,48,20,35,235.0,47.0,C,1.88,FAIL
90,8,53,50,43,244.0,48.8,C,1.952,FAIL
3,20,87,11,45,166.0,33.2,NG,1.328,FAIL
68,76,20,88,17,269.0,53.8,C+,2.152,FAIL
29,89,52,72,3,245.0,49.0,C,1.96,FAIL
66,93,64,61,50,334.0,66.8,B,2.6719999999999997,PASS
0,50,39,65,42,196.0,39.2,C,1.568,FAIL
20,11,26,92,84,233.0,46.6,C,1.864,FAIL
62,76,76,9,66,289.0,57.8,C+,2.312,FAIL
73,64,14,88,64,303.0,60.6,B,2.424,FAIL
32,62,54,30,4,182.0,36.4,C,1.456,FAIL
39,46,12,27,11,135.0,27.0,NG,1.08,FAIL
10,99,36,47,68,260.0,52.0,C+,2.08,FAIL
27,4,29,20,61,141.0,28.2,NG,1.128,FAIL
23,2,76,82,82,265.0,53.0,C+,2.12,FAIL
98,55,59,57,29,298.0,59.6,C+,2.384,FAIL
74,91,28,27,74,294.0,58.8,C+,2.352,FAIL
48,88,29,52,98,315.0,63.0,B,2.52,FAIL
79,26,40,10,53,208.0,41.6,C,1.6640000000000001,FAIL
86,14,90,89,74,353.0,70.6,B+,2.824,FAIL
19,54,22,45,15,155.0,31.0,NG,1.24,FAIL
34,32,31,6,1,104.0,20.8,NG,0.8320000000000001,FAIL
12,64,69,37,20,202.0,40.4,C,1.6160000000000003,FAIL
13,77,57,11,87,245.0,49.0,C,1.96,FAIL
86,36,92,81,42,337.0,67.4,B,2.696,PASS
89,98,37,58,99,381.0,76.2,B+,3.048,PASS
28,97,84,87,78,374.0,74.8,B+,2.992,FAIL
2,64,72,50,84,272.0,54.4,C+,2.176,FAIL
11,27,95,93,0,226.0,45.2,C,1.808,FAIL
33,51,97,15,36,232.0,46.4,C,1.8560000000000003,FAIL
34,21,67,54,74,250.0,50.0,C+,2.0,FAIL
16,82,21,40,31,190.0,38.0,C,1.52,FAIL
52,98,61,58,41,310.0,62.0,B,2.48,PASS
82,19,93,85,66,345.0,69.0,B,2.76,FAIL
23,68,2,61,0,154.0,30.8,NG,1.232,FAIL
79,0,50,62,10,201.0,40.2,C,1.608,FAIL
20,64,65,2,89,240.0,48.0,C,1.92,FAIL
95,72,5,8,2,182.0,36.4,C,1.456,FAIL
56,10,35,10,57,168.0,33.6,NG,1.344,FAIL
32,96,2,23,16,169.0,33.8,NG,1.352,FAIL
8,93,73,93,97,364.0,72.8,B+,2.912,FAIL
49,54,93,22,19,237.0,47.4,C,1.896,FAIL
42,80,94,8,27,251.0,50.2,C+,2.008,FAIL
74,39,46,88,29,276.0,55.2,C+,2.208,FAIL
15,22,88,96,97,318.0,63.6,B,2.544,FAIL
93,7,70,47,9,226.0,45.2,C,1.808,FAIL
26,65,36,67,10,204.0,40.8,C,1.632,FAIL
60,31,99,69,86,345.0,69.0,B,2.76,FAIL
96,93,82,92,32,395.0,79.0,B+,3.16,FAIL
21,12,91,0,77,201.0,40.2,C,1.608,FAIL
70,63,65,76,48,322.0,64.4,B,2.576,PASS
79,48,29,74,10,240.0,48.0,C,1.92,FAIL
11,53,73,40,98,275.0,55.0,C+,2.2,FAIL
89,11,87,67,82,336.0,67.2,B,2.688,FAIL
60,42,77,65,56,300.0,60.0,B,2.4,PASS
13,4,27,37,41,122.0,24.4,NG,0.976,FAIL
84,1,60,84,18,247.0,49.4,C,1.976,FAIL
4,68,55,16,78,221.0,44.2,C,1.768,FAIL
64,53,48,2,53,220.0,44.0,C,1.76,FAIL
83,1,17,45,4,150.0,30.0,NG,1.2,FAIL
90,29,85,51,77,332.0,66.4,B,2.656,FAIL
19,95,19,77,89,299.0,59.8,C+,2.392,FAIL
65,79,25,55,68,292.0,58.4,C+,2.336,FAIL
39,34,80,40,58,251.0,50.2,C+,2.008,FAIL
87,41,81,86,99,394.0,78.8,B+,3.1519999999999997,PASS
83,30,7,68,71,259.0,51.8,C+,2.072,FAIL
24,61,48,98,41,272.0,54.4,C+,2.176,FAIL
28,28,13,8,74,151.0,30.2,NG,1.208,FAIL
22,7,40,59,11,139.0,27.8,NG,1.112,FAIL
95,57,4,8,26,190.0,38.0,C,1.52,FAIL
32,1,68,78,42,221.0,44.2,C,1.768,FAIL
8,95,73,16,50,242.0,48.4,C,1.936,FAIL
85,27,68,9,67,256.0,51.2,C+,2.048,FAIL
47,34,71,4,20,176.0,35.2,C,1.408,FAIL
74,77,70,78,44,343.0,68.6,B,2.744,PASS
67,77,65,70,22,301.0,60.2,B,2.408,FAIL
20,68,29,37,21,175.0,35.0,C,1.4,FAIL
94,6,40,46,14,200.0,40.0,C,1.6,FAIL
71,69,65,55,83,343.0,68.6,B,2.744,PASS
45,93,5,93,93,329.0,65.8,B,2.6319999999999997,FAIL
97,42,33,68,92,332.0,66.4,B,2.656,FAIL
34,82,12,5,59,192.0,38.4,C,1.536,FAIL
87,79,83,93,23,365.0,73.0,B+,2.92,FAIL
95,51,41,81,21,289.0,57.8,C+,2.312,FAIL
43,99,98,50,71,361.0,72.2,B+,2.888,PASS
5,44,43,6,19,117.0,23.4,NG,0.936,FAIL
47,57,49,81,93,327.0,65.4,B,2.616,PASS
2,48,69,44,83,246.0,49.2,C,1.9680000000000002,FAIL
9,33,16,77,27,162.0,32.4,NG,1.296,FAIL
20,36,88,25,34,203.0,40.6,C,1.624,FAIL
53,18,24,60,59,214.0,42.8,C,1.712,FAIL
13,85,19,44,20,181.0,36.2,C,1.4479999999999997,FAIL
21,75,16,9,51,172.0,34.4,NG,1.376,FAIL
65,99,50,36,81,331.0,66.2,B,2.648,PASS
75,29,94,22,77,297.0,59.4,C+,2.376,FAIL
36,42,81,49,39,247.0,49.4,C,1.976,PASS
63,88,66,35,73,325.0,65.0,B,2.6,PASS
93,89,26,80,63,351.0,70.2,B+,2.8079999999999994,FAIL
37,76,29,32,3,177.0,35.4,C,1.416,FAIL
36,15,58,45,3,157.0,31.4,NG,1.256,FAIL
34,29,64,57,58,242.0,48.4,C,1.936,FAIL
97,69,18,51,36,271.0,54.2,C+,2.168,FAIL
18,92,3,86,60,259.0,51.8,C+,2.072,FAIL
82,49,58,8,36,233.0,46.6,C,1.864,FAIL
57,41,16,76,12,202.0,40.4,C,1.6160000000000003,FAIL
8,32,85,78,70,273.0,54.6,C+,2.184,FAIL
73,55,82,55,99,364.0,72.8,B+,2.912,PASS
0,23,52,87,95,257.0,51.4,C+,2.056,FAIL
11,36,20,16,5,88.0,17.6,NG,0.704,FAIL
85,67,17,25,6,200.0,40.0,C,1.6,FAIL
44,41,70,16,8,179.0,35.8,C,1.432,FAIL
36,23,66,49,14,188.0,37.6,C,1.504,FAIL
92,32,14,28,70,236.0,47.2,C,1.888,FAIL
57,79,37,34,91,298.0,59.6,C+,2.384,FAIL
80,58,94,66,79,377.0,75.4,B+,3.016,PASS
52,22,75,87,85,321.0,64.2,B,2.568,FAIL
26,79,44,64,9,222.0,44.4,C,1.776,FAIL
92,4,91,89,46,322.0,64.4,B,2.576,FAIL
55,72,84,18,39,268.0,53.6,C+,2.144,FAIL
18,30,91,62,23,224.0,44.8,C,1.7920000000000003,FAIL
99,67,62,90,79,397.0,79.4,B+,3.176,PASS
34,56,84,56,29,259.0,51.8,C+,2.072,FAIL
39,94,72,28,26,259.0,51.8,C+,2.072,FAIL
43,33,8,64,44,192.0,38.4,C,1.536,FAIL
89,60,68,43,83,343.0,68.6,B,2.744,PASS
61,45,15,58,93,272.0,54.4,C+,2.176,FAIL
26,53,54,34,22,189.0,37.8,C,1.5119999999999998,FAIL
78,32,94,41,85,330.0,66.0,B,2.64,FAIL
46,9,31,70,34,190.0,38.0,C,1.52,FAIL
59,99,13,21,75,267.0,53.4,C+,2.136,FAIL
80,22,9,13,0,124.0,24.8,NG,0.992,FAIL
36,15,30,97,24,202.0,40.4,C,1.6160000000000003,FAIL
36,71,77,42,27,253.0,50.6,C+,2.024,FAIL
83,92,12,73,71,331.0,66.2,B,2.648,FAIL
40,22,76,83,51,272.0,54.4,C+,2.176,FAIL
60,43,87,59,72,321.0,64.2,B,2.568,PASS
47,50,26,98,89,310.0,62.0,B,2.48,FAIL
96,39,50,16,69,270.0,54.0,C+,2.16,FAIL
43,92,35,2,90,262.0,52.4,C+,2.096,FAIL
4,54,26,35,31,150.0,30.0,NG,1.2,FAIL
37,88,9,25,13,172.0,34.4,NG,1.376,FAIL
44,7,91,86,16,244.0,48.8,C,1.952,FAIL
54,92,73,20,55,294.0,58.8,C+,2.352,FAIL
23,83,34,30,84,254.0,50.8,C+,2.032,FAIL
50,64,87,36,18,255.0,51.0,C+,2.04,FAIL
75,41,99,83,22,320.0,64.0,B,2.56,FAIL
64,1,39,1,24,129.0,25.8,NG,1.032,FAIL
13,88,85,2,25,213.0,42.6,C,1.704,FAIL
39,95,94,81,74,383.0,76.6,B+,3.0639999999999996,PASS
17,32,0,58,63,170.0,34.0,NG,1.36,FAIL
77,66,56,58,96,353.0,70.6,B+,2.824,PASS
15,28,0,50,14,107.0,21.4,NG,0.856,FAIL
3,24,39,59,1,126.0,25.2,NG,1.008,FAIL
58,3,64,72,16,213.0,42.6,C,1.704,FAIL
25,34,61,56,83,259.0,51.8,C+,2.072,FAIL
85,93,57,20,42,297.0,59.4,C+,2.376,FAIL
89,25,65,49,88,316.0,63.2,B,2.528,FAIL
98,25,44,73,15,255.0,51.0,C+,2.04,FAIL
93,12,62,90,68,325.0,65.0,B,2.6,FAIL
50,22,7,84,67,230.0,46.0,C,1.84,FAIL
28,36,65,40,97,266.0,53.2,C+,2.128,FAIL
69,75,95,33,57,329.0,65.8,B,2.6319999999999997,FAIL
87,75,6,15,32,215.0,43.0,C,1.72,FAIL
53,76,36,23,14,202.0,40.4,C,1.6160000000000003,FAIL
34,54,27,20,71,206.0,41.2,C,1.648,FAIL
40,98,37,99,63,337.0,67.4,B,2.696,PASS
55,4,58,95,55,267.0,53.4,C+,2.136,FAIL
8,83,5,64,82,242.0,48.4,C,1.936,FAIL
71,14,86,98,71,340.0,68.0,B,2.72,FAIL
29,11,36,77,94,247.0,49.4,C,1.976,FAIL
16,69,66,89,28,268.0,53.6,C+,2.144,FAIL
6,35,60,59,37,197.0,39.4,C,1.5759999999999998,FAIL
51,49,76,61,58,295.0,59.0,C+,2.36,PASS
95,58,60,91,99,403.0,80.6,A,3.224,PASS
43,80,13,44,98,278.0,55.6,C+,2.224,FAIL
73,47,65,0,73,258.0,51.6,C+,2.064,FAIL
48,38,9,25,67,187.0,37.4,C,1.496,FAIL
63,90,80,98,55,386.0,77.2,B+,3.088,PASS
6,18,99,9,38,170.0,34.0,NG,1.36,FAIL
52,30,76,73,37,268.0,53.6,C+,2.144,FAIL
49,64,14,2,78,207.0,41.4,C,1.656,FAIL
36,14,83,70,53,256.0,51.2,C+,2.048,FAIL
35,83,52,86,94,350.0,70.0,B+,2.8,PASS
77,22,42,15,7,163.0,32.6,NG,1.304,FAIL
75,41,16,12,1,145.0,29.0,NG,1.16,FAIL
11,22,92,27,18,170.0,34.0,NG,1.36,FAIL
29,42,51,37,39,198.0,39.6,C,1.584,FAIL
50,90,15,85,58,298.0,59.6,C+,2.384,FAIL
20,52,97,67,99,335.0,67.0,B,2.68,FAIL
44,27,88,0,92,251.0,50.2,C+,2.008,FAIL
45,43,40,82,95,305.0,61.0,B,2.44,PASS
12,91,57,27,22,209.0,41.8,C,1.672,FAIL
51,38,11,11,10,121.0,24.2,NG,0.968,FAIL
55,16,42,83,77,273.0,54.6,C+,2.184,FAIL
57,28,32,87,23,227.0,45.4,C,1.8159999999999998,FAIL
67,88,31,70,14,270.0,54.0,C+,2.16,FAIL
58,74,84,1,79,296.0,59.2,C+,2.368,FAIL
13,31,89,64,15,212.0,42.4,C,1.696,FAIL
63,69,70,81,90,373.0,74.6,B+,2.984,PASS
95,39,17,1,59,211.0,42.2,C,1.6879999999999997,FAIL
31,62,34,77,77,281.0,56.2,C+,2.248,FAIL
2,83,86,71,69,311.0,62.2,B,2.488,FAIL
19,39,9,63,24,154.0,30.8,NG,1.232,FAIL
1,23,9,15,23,71.0,14.2,NG,0.568,FAIL
14,69,35,52,51,221.0,44.2,C,1.768,FAIL
26,42,89,88,20,265.0,53.0,C+,2.12,FAIL
27,60,22,10,43,162.0,32.4,NG,1.296,FAIL
71,55,17,36,92,271.0,54.2,C+,2.168,FAIL
51,87,83,58,34,313.0,62.6,B,2.504,FAIL
15,88,21,74,47,245.0,49.0,C,1.96,FAIL
48,47,65,42,29,231.0,46.2,C,1.848,FAIL
69,26,36,13,68,212.0,42.4,C,1.696,FAIL
80,71,28,50,14,243.0,48.6,C,1.944,FAIL
85,75,0,75,90,325.0,65.0,B,2.6,FAIL
11,87,9,93,15,215.0,43.0,C,1.72,FAIL
39,67,42,85,53,286.0,57.2,C+,2.288,PASS
67,32,6,48,75,228.0,45.6,C,1.824,FAIL
95,86,38,90,70,379.0,75.8,B+,3.032,PASS
54,96,1,72,9,232.0,46.4,C,1.8560000000000003,FAIL
2,25,5,74,51,157.0,31.4,NG,1.256,FAIL
19,80,51,0,41,191.0,38.2,C,1.528,FAIL
90,23,62,1,98,274.0,54.8,C+,2.192,FAIL
85,53,83,79,41,341.0,68.2,B,2.728,PASS
97,12,57,15,75,256.0,51.2,C+,2.048,FAIL
29,37,98,61,39,264.0,52.8,C+,2.112,FAIL
95,90,98,52,53,388.0,77.6,B+,3.1040000000000005,PASS
28,4,29,26,12,99.0,19.8,NG,0.792,FAIL
0,25,1,82,92,200.0,40.0,C,1.6,FAIL
61,31,57,66,65,280.0,56.0,C+,2.24,FAIL
20,2,18,91,46,177.0,35.4,C,1.416,FAIL
75,85,48,77,20,305.0,61.0,B,2.44,FAIL
19,66,39,42,92,258.0,51.6,C+,2.064,FAIL
96,53,95,70,16,330.0,66.0,B,2.64,FAIL
71,34,27,80,20,232.0,46.4,C,1.8560000000000003,FAIL
72,90,21,95,37,315.0,63.0,B,2.52,FAIL
68,20,6,80,95,269.0,53.8,C+,2.152,FAIL
57,76,1,3,97,234.0,46.8,C,1.872,FAIL
56,89,57,55,75,332.0,66.4,B,2.656,PASS
97,34,39,70,38,278.0,55.6,C+,2.224,FAIL
4,17,70,68,46,205.0,41.0,C,1.64,FAIL
94,2,29,82,23,230.0,46.0,C,1.84,FAIL
48,98,98,10,16,270.0,54.0,C+,2.16,FAIL
17,57,70,74,31,249.0,49.8,C,1.992,FAIL
92,13,13,66,31,215.0,43.0,C,1.72,FAIL
29,26,36,68,17,176.0,35.2,C,1.408,FAIL
37,2,16,22,60,137.0,27.4,NG,1.096,FAIL
19,99,91,95,25,329.0,65.8,B,2.6319999999999997,FAIL
68,80,65,13,66,292.0,58.4,C+,2.336,FAIL
88,66,14,77,58,303.0,60.6,B,2.424,FAIL
14,84,39,24,60,221.0,44.2,C,1.768,FAIL
47,38,11,30,81,207.0,41.4,C,1.656,FAIL
94,4,68,88,63,317.0,63.4,B,2.536,FAIL
98,75,20,15,88,296.0,59.2,C+,2.368,FAIL
78,24,49,93,6,250.0,50.0,C+,2.0,FAIL
