Physics,Chemistry,Math,Computer,Average Marks,Total Marks,Percentages %,Grades,Final Results
1,78,43,9,32.75,131.0,32.75,NG,FAIL
86,12,49,14,40.25,161.0,40.25,C,FAIL
81,52,37,44,53.5,214.0,53.5,C+,PASS
32,14,21,22,22.25,89.0,22.25,NG,FAIL
88,36,1,67,48.0,192.0,48.0,C,FAIL
87,74,20,61,60.5,242.0,60.5,B,FAIL
82,58,24,61,56.25,225.0,56.25,C+,FAIL
37,79,0,10,31.5,126.0,31.5,NG,FAIL
98,80,66,36,70.0,280.0,70.0,B+,PASS
54,93,98,10,63.75,255.0,63.75,B,FAIL
72,3,93,5,43.25,173.0,43.25,C,FAIL
13,76,40,2,32.75,131.0,32.75,NG,FAIL
31,48,70,57,51.5,206.0,51.5,C+,FAIL
5,3,27,68,25.75,103.0,25.75,NG,FAIL
26,29,86,73,53.5,214.0,53.5,C+,FAIL
1,25,71,81,44.5,178.0,44.5,C,FAIL
94,11,49,96,62.5,250.0,62.5,B,FAIL
50,0,51,47,37.0,148.0,37.0,C,FAIL
42,80,32,42,49.0,196.0,49.0,C,FAIL
35,49,47,23,38.5,154.0,38.5,C,FAIL
94,4,40,51,47.25,189.0,47.25,C,FAIL
2,95,36,62,48.75,195.0,48.75,C,FAIL
57,59,97,84,74.25,297.0,74.25,B+,PASS
98,52,40,39,57.25,229.0,57.25,C+,PASS
53,66,81,13,53.25,213.0,53.25,C+,FAIL
16,66,49,73,51.0,204.0,51.0,C+,FAIL
5,80,93,89,66.75,267.0,66.75,B,FAIL
81,97,96,70,86.0,344.0,86.0,A,PASS
73,95,5,87,65.0,260.0,65.0,B,FAIL
72,69,60,88,72.25,289.0,72.25,B+,PASS
52,49,50,44,48.75,195.0,48.75,C,PASS
9,60,15,38,30.5,122.0,30.5,NG,FAIL
21,21,2,37,20.25,81.0,20.25,NG,FAIL
0,39,96,28,40.75,163.0,40.75,C,FAIL
37,27,73,6,35.75,143.0,35.75,C,FAIL
66,55,13,34,42.0,168.0,42.0,C,FAIL
78,66,66,80,72.5,290.0,72.5,B+,PASS
90,44,73,22,57.25,229.0,57.25,C+,FAIL
46,52,17,49,41.0,164.0,41.0,C,FAIL
47,69,0,15,32.75,131.0,32.75,NG,FAIL
46,92,95,32,66.25,265.0,66.25,B,FAIL
79,22,90,76,66.75,267.0,66.75,B,FAIL
28,16,12,46,25.5,102.0,25.5,NG,FAIL
59,55,89,40,60.75,243.0,60.75,B,PASS
55,19,11,37,30.5,122.0,30.5,NG,FAIL
7,0,96,46,37.25,149.0,37.25,C,FAIL
84,87,18,93,70.5,282.0,70.5,B+,FAIL
50,8,99,78,58.75,235.0,58.75,C+,FAIL
96,78,48,65,71.75,287.0,71.75,B+,PASS
11,23,92,93,54.75,219.0,54.75,C+,FAIL
60,78,34,82,63.5,254.0,63.5,B,FAIL
98,73,60,55,71.5,286.0,71.5,B+,PASS
40,16,5,22,20.75,83.0,20.75,NG,FAIL
58,46,1,68,43.25,173.0,43.25,C,FAIL
3,37,80,55,43.75,175.0,43.75,C,FAIL
14,64,30,71,44.75,179.0,44.75,C,FAIL
63,75,2,48,47.0,188.0,47.0,C,FAIL
20,6,36,47,27.25,109.0,27.25,NG,FAIL
35,78,74,44,57.75,231.0,57.75,C+,PASS
66,59,99,20,61.0,244.0,61.0,B,FAIL
70,27,17,53,41.75,167.0,41.75,C,FAIL
87,22,16,86,52.75,211.0,52.75,C+,FAIL
95,51,58,12,54.0,216.0,54.0,C+,FAIL
48,9,17,28,25.5,102.0,25.5,NG,FAIL
90,90,95,92,91.75,367.0,91.75,A+,PASS
76,64,20,2,40.5,162.0,40.5,C,FAIL
29,31,18,29,26.75,107.0,26.75,NG,FAIL
67,30,34,41,43.0,172.0,43.0,C,FAIL
18,3,53,62,34.0,136.0,34.0,NG,FAIL
13,74,83,76,61.5,246.0,61.5,B,FAIL
69,8,44,24,36.25,145.0,36.25,C,FAIL
0,69,14,84,41.75,167.0,41.75,C,FAIL
28,58,86,99,67.75,271.0,67.75,B,FAIL
34,5,17,58,28.5,114.0,28.5,NG,FAIL
45,14,81,39,44.75,179.0,44.75,C,FAIL
42,84,38,2,41.5,166.0,41.5,C,FAIL
88,9,17,31,36.25,145.0,36.25,C,FAIL
67,93,90,44,73.5,294.0,73.5,B+,PASS
95,23,94,72,71.0,284.0,71.0,B+,FAIL
31,26,41,73,42.75,171.0,42.75,C,FAIL
38,11,95,22,41.5,166.0,41.5,C,FAIL
72,91,45,26,58.5,234.0,58.5,C+,FAIL
94,10,68,84,64.0,256.0,64.0,B,FAIL
83,30,79,88,70.0,280.0,70.0,B+,FAIL
37,16,51,8,28.0,112.0,28.0,NG,FAIL
39,23,98,80,60.0,240.0,60.0,B,FAIL
47,50,55,91,60.75,243.0,60.75,B,PASS
20,70,18,90,49.5,198.0,49.5,C,FAIL
7,20,87,91,51.25,205.0,51.25,C+,FAIL
30,1,19,50,25.0,100.0,25.0,NG,FAIL
44,66,16,90,54.0,216.0,54.0,C+,FAIL
37,84,33,76,57.5,230.0,57.5,C+,FAIL
89,59,57,65,67.5,270.0,67.5,B,PASS
20,58,24,70,43.0,172.0,43.0,C,FAIL
47,10,52,96,51.25,205.0,51.25,C+,FAIL
45,90,34,56,56.25,225.0,56.25,C+,FAIL
43,79,89,2,53.25,213.0,53.25,C+,FAIL
21,32,73,87,53.25,213.0,53.25,C+,FAIL
6,56,99,28,47.25,189.0,47.25,C,FAIL
41,10,52,90,48.25,193.0,48.25,C,FAIL
90,76,57,51,68.5,274.0,68.5,B,PASS
88,55,93,98,83.5,334.0,83.5,A,PASS
75,49,91,19,58.5,234.0,58.5,C+,FAIL
18,90,43,41,48.0,192.0,48.0,C,FAIL
81,39,75,68,65.75,263.0,65.75,B,PASS
20,74,22,24,35.0,140.0,35.0,C,FAIL
85,84,73,88,82.5,330.0,82.5,A,PASS
36,4,29,62,32.75,131.0,32.75,NG,FAIL
76,46,48,85,63.75,255.0,63.75,B,PASS
44,35,32,21,33.0,132.0,33.0,NG,FAIL
83,51,84,66,71.0,284.0,71.0,B+,PASS
92,52,11,87,60.5,242.0,60.5,B,FAIL
51,61,36,17,41.25,165.0,41.25,C,FAIL
76,98,42,38,63.5,254.0,63.5,B,PASS
27,32,72,34,41.25,165.0,41.25,C,FAIL
44,40,25,4,28.25,113.0,28.25,NG,FAIL
70,75,40,84,67.25,269.0,67.25,B,PASS
63,35,59,51,52.0,208.0,52.0,C+,PASS
14,67,43,99,55.75,223.0,55.75,C+,FAIL
14,76,88,59,59.25,237.0,59.25,C+,FAIL
95,6,13,45,39.75,159.0,39.75,C,FAIL
41,9,41,28,29.75,119.0,29.75,NG,FAIL
89,9,23,83,51.0,204.0,51.0,C+,FAIL
34,91,55,45,56.25,225.0,56.25,C+,FAIL
46,64,72,48,57.5,230.0,57.5,C+,PASS
31,92,37,84,61.0,244.0,61.0,B,FAIL
60,61,9,67,49.25,197.0,49.25,C,FAIL
73,9,27,70,44.75,179.0,44.75,C,FAIL
88,88,79,58,78.25,313.0,78.25,B+,PASS
7,22,6,18,13.25,53.0,13.25,NG,FAIL
21,10,54,17,25.5,102.0,25.5,NG,FAIL
66,50,67,41,56.0,224.0,56.0,C+,PASS
68,93,75,12,62.0,248.0,62.0,B,FAIL
42,25,59,22,37.0,148.0,37.0,C,FAIL
53,85,43,58,59.75,239.0,59.75,C+,PASS
87,9,34,37,41.75,167.0,41.75,C,FAIL
18,27,82,93,55.0,220.0,55.0,C+,FAIL
22,10,92,63,46.75,187.0,46.75,C,FAIL
18,32,37,68,38.75,155.0,38.75,C,FAIL
22,24,92,14,38.0,152.0,38.0,C,FAIL
69,16,61,96,60.5,242.0,60.5,B,FAIL
58,78,20,31,46.75,187.0,46.75,C,FAIL
61,47,78,40,56.5,226.0,56.5,C+,PASS
0,31,79,13,30.75,123.0,30.75,NG,FAIL
42,62,29,60,48.25,193.0,48.25,C,FAIL
18,0,42,22,20.5,82.0,20.5,NG,FAIL
96,98,97,85,94.0,376.0,94.0,A+,PASS
12,33,41,6,23.0,92.0,23.0,NG,FAIL
12,18,89,3,30.5,122.0,30.5,NG,FAIL
27,40,2,91,40.0,160.0,40.0,C,FAIL
17,75,60,8,40.0,160.0,40.0,C,FAIL
14,8,80,28,32.5,130.0,32.5,NG,FAIL
53,84,3,77,54.25,217.0,54.25,C+,FAIL
38,60,92,54,61.0,244.0,61.0,B,PASS
98,18,39,37,48.0,192.0,48.0,C,FAIL
89,83,30,73,68.75,275.0,68.75,B,FAIL
35,73,56,55,54.75,219.0,54.75,C+,PASS
65,68,35,45,53.25,213.0,53.25,C+,PASS
69,58,71,21,54.75,219.0,54.75,C+,FAIL
31,63,3,54,37.75,151.0,37.75,C,FAIL
67,85,61,38,62.75,251.0,62.75,B,PASS
68,30,51,20,42.25,169.0,42.25,C,FAIL
32,65,78,46,55.25,221.0,55.25,C+,FAIL
85,97,96,17,73.75,295.0,73.75,B+,FAIL
24,41,26,83,43.5,174.0,43.5,C,FAIL
7,9,76,80,43.0,172.0,43.0,C,FAIL
62,63,25,8,39.5,158.0,39.5,C,FAIL
64,10,90,95,64.75,259.0,64.75,B,FAIL
51,81,60,95,71.75,287.0,71.75,B+,PASS
59,60,95,99,78.25,313.0,78.25,B+,PASS
21,99,32,84,59.0,236.0,59.0,C+,FAIL
50,79,81,91,75.25,301.0,75.25,B+,PASS
59,74,8,79,55.0,220.0,55.0,C+,FAIL
47,81,1,80,52.25,209.0,52.25,C+,FAIL
76,30,50,3,39.75,159.0,39.75,C,FAIL
91,4,88,68,62.75,251.0,62.75,B,FAIL
79,94,57,59,72.25,289.0,72.25,B+,PASS
58,66,33,37,48.5,194.0,48.5,C,FAIL
87,36,79,6,52.0,208.0,52.0,C+,FAIL
34,22,60,19,33.75,135.0,33.75,NG,FAIL
35,10,29,42,29.0,116.0,29.0,NG,FAIL
48,91,16,88,60.75,243.0,60.75,B,FAIL
70,32,8,79,47.25,189.0,47.25,C,FAIL
48,16,86,48,49.5,198.0,49.5,C,FAIL
68,99,33,64,66.0,264.0,66.0,B,FAIL
89,69,45,24,56.75,227.0,56.75,C+,FAIL
80,6,27,89,50.5,202.0,50.5,C+,FAIL
44,10,19,84,39.25,157.0,39.25,C,FAIL
10,30,23,42,26.25,105.0,26.25,NG,FAIL
42,57,85,31,53.75,215.0,53.75,C+,FAIL
63,89,3,83,59.5,238.0,59.5,C+,FAIL
23,91,69,2,46.25,185.0,46.25,C,FAIL
22,5,32,76,33.75,135.0,33.75,NG,FAIL
36,71,76,92,68.75,275.0,68.75,B,PASS
88,4,82,39,53.25,213.0,53.25,C+,FAIL
45,84,19,60,52.0,208.0,52.0,C+,FAIL
3,20,20,19,15.5,62.0,15.5,NG,FAIL
84,83,89,59,78.75,315.0,78.75,B+,PASS
27,33,99,7,41.5,166.0,41.5,C,FAIL
45,31,13,75,41.0,164.0,41.0,C,FAIL
96,99,33,15,60.75,243.0,60.75,B,FAIL
81,14,82,15,48.0,192.0,48.0,C,FAIL
99,58,4,53,53.5,214.0,53.5,C+,FAIL
65,75,27,55,55.5,222.0,55.5,C+,FAIL
65,79,87,18,62.25,249.0,62.25,B,FAIL
93,92,60,12,64.25,257.0,64.25,B,FAIL
24,48,89,56,54.25,217.0,54.25,C+,FAIL
6,80,9,97,48.0,192.0,48.0,C,FAIL
10,15,60,76,40.25,161.0,40.25,C,FAIL
96,16,88,68,67.0,268.0,67.0,B,FAIL
69,59,36,52,54.0,216.0,54.0,C+,PASS
77,51,61,49,59.5,238.0,59.5,C+,PASS
88,61,75,84,77.0,308.0,77.0,B+,PASS
31,0,26,83,35.0,140.0,35.0,C,FAIL
83,7,98,97,71.25,285.0,71.25,B+,FAIL
21,86,10,59,44.0,176.0,44.0,C,FAIL
76,8,39,90,53.25,213.0,53.25,C+,FAIL
34,7,11,60,28.0,112.0,28.0,NG,FAIL
22,2,89,81,48.5,194.0,48.5,C,FAIL
4,70,50,97,55.25,221.0,55.25,C+,FAIL
62,22,99,32,53.75,215.0,53.75,C+,FAIL
16,30,5,23,18.5,74.0,18.5,NG,FAIL
79,2,7,52,35.0,140.0,35.0,C,FAIL
21,27,15,66,32.25,129.0,32.25,NG,FAIL
84,23,42,63,53.0,212.0,53.0,C+,FAIL
9,23,18,78,32.0,128.0,32.0,NG,FAIL
93,9,21,92,53.75,215.0,53.75,C+,FAIL
9,25,66,11,27.75,111.0,27.75,NG,FAIL
97,89,12,69,66.75,267.0,66.75,B,FAIL
89,68,71,81,77.25,309.0,77.25,B+,PASS
17,33,99,38,46.75,187.0,46.75,C,FAIL
19,85,39,84,56.75,227.0,56.75,C+,FAIL
59,46,9,66,45.0,180.0,45.0,C,FAIL
58,31,26,88,50.75,203.0,50.75,C+,FAIL
86,54,22,19,45.25,181.0,45.25,C,FAIL
45,13,83,1,35.5,142.0,35.5,C,FAIL
42,69,22,36,42.25,169.0,42.25,C,FAIL
9,46,15,43,28.25,113.0,28.25,NG,FAIL
92,80,70,7,62.25,249.0,62.25,B,FAIL
54,68,27,19,42.0,168.0,42.0,C,FAIL
32,94,15,97,59.5,238.0,59.5,C+,FAIL
99,8,98,31,59.0,236.0,59.0,C+,FAIL
24,90,89,6,52.25,209.0,52.25,C+,FAIL
64,86,52,28,57.5,230.0,57.5,C+,FAIL
35,78,29,79,55.25,221.0,55.25,C+,FAIL
92,25,40,24,45.25,181.0,45.25,C,FAIL
72,45,56,41,53.5,214.0,53.5,C+,PASS
2,14,26,41,20.75,83.0,20.75,NG,FAIL
82,51,18,74,56.25,225.0,56.25,C+,FAIL
30,82,7,19,34.5,138.0,34.5,NG,FAIL
67,64,46,67,61.0,244.0,61.0,B,PASS
47,17,45,83,48.0,192.0,48.0,C,FAIL
47,41,95,11,48.5,194.0,48.5,C,FAIL
16,93,84,46,59.75,239.0,59.75,C+,FAIL
27,19,25,97,42.0,168.0,42.0,C,FAIL
95,80,20,17,53.0,212.0,53.0,C+,FAIL
10,40,99,25,43.5,174.0,43.5,C,FAIL
46,32,19,1,24.5,98.0,24.5,NG,FAIL
96,42,86,29,63.25,253.0,63.25,B,FAIL
50,6,49,37,35.5,142.0,35.5,C,FAIL
25,75,31,56,46.75,187.0,46.75,C,FAIL
79,1,18,60,39.5,158.0,39.5,C,FAIL
21,88,48,87,61.0,244.0,61.0,B,FAIL
79,81,22,60,60.5,242.0,60.5,B,FAIL
64,96,40,54,63.5,254.0,63.5,B,PASS
32,80,60,48,55.0,220.0,55.0,C+,FAIL
57,88,6,75,56.5,226.0,56.5,C+,FAIL
37,91,23,9,40.0,160.0,40.0,C,FAIL
80,77,95,41,73.25,293.0,73.25,B+,PASS
74,49,99,26,62.0,248.0,62.0,B,FAIL
33,95,64,5,49.25,197.0,49.25,C,FAIL
85,32,38,7,40.5,162.0,40.5,C,FAIL
14,31,35,19,24.75,99.0,24.75,NG,FAIL
66,92,23,54,58.75,235.0,58.75,C+,FAIL
54,55,17,29,38.75,155.0,38.75,C,FAIL
95,18,75,60,62.0,248.0,62.0,B,FAIL
67,28,53,34,45.5,182.0,45.5,C,FAIL
78,15,20,67,45.0,180.0,45.0,C,FAIL
46,25,9,44,31.0,124.0,31.0,NG,FAIL
15,23,20,58,29.0,116.0,29.0,NG,FAIL
87,5,85,40,54.25,217.0,54.25,C+,FAIL
85,87,96,64,83.0,332.0,83.0,A,PASS
13,41,66,50,42.5,170.0,42.5,C,FAIL
29,66,16,6,29.25,117.0,29.25,NG,FAIL
35,19,96,92,60.5,242.0,60.5,B,FAIL
73,29,5,57,41.0,164.0,41.0,C,FAIL
42,9,41,24,29.0,116.0,29.0,NG,FAIL
90,30,78,92,72.5,290.0,72.5,B+,FAIL
55,55,74,98,70.5,282.0,70.5,B+,PASS
26,65,16,88,48.75,195.0,48.75,C,FAIL
83,34,16,24,39.25,157.0,39.25,C,FAIL
52,59,58,57,56.5,226.0,56.5,C+,PASS
55,8,83,87,58.25,233.0,58.25,C+,FAIL
63,99,79,49,72.5,290.0,72.5,B+,PASS
90,80,12,88,67.5,270.0,67.5,B,FAIL
44,6,86,61,49.25,197.0,49.25,C,FAIL
84,88,66,23,65.25,261.0,65.25,B,FAIL
22,51,25,24,30.5,122.0,30.5,NG,FAIL
93,75,7,2,44.25,177.0,44.25,C,FAIL
45,92,76,73,71.5,286.0,71.5,B+,PASS
10,52,91,21,43.5,174.0,43.5,C,FAIL
5,97,28,25,38.75,155.0,38.75,C,FAIL
2,29,8,2,10.25,41.0,10.25,NG,FAIL
1,68,52,44,41.25,165.0,41.25,C,FAIL
45,66,35,32,44.5,178.0,44.5,C,FAIL
50,19,57,33,39.75,159.0,39.75,C,FAIL
72,24,5,87,47.0,188.0,47.0,C,FAIL
66,68,81,83,74.5,298.0,74.5,B+,PASS
20,24,16,53,28.25,113.0,28.25,NG,FAIL
57,3,27,86,43.25,173.0,43.25,C,FAIL
68,83,53,77,70.25,281.0,70.25,B+,PASS
36,51,82,58,56.75,227.0,56.75,C+,PASS
26,47,64,80,54.25,217.0,54.25,C+,FAIL
30,33,26,76,41.25,165.0,41.25,C,FAIL
9,25,13,18,16.25,65.0,16.25,NG,FAIL
1,5,71,41,29.5,118.0,29.5,NG,FAIL
32,27,8,2,17.25,69.0,17.25,NG,FAIL
17,33,68,50,42.0,168.0,42.0,C,FAIL
38,91,37,16,45.5,182.0,45.5,C,FAIL
15,6,28,16,16.25,65.0,16.25,NG,FAIL
53,55,20,65,48.25,193.0,48.25,C,FAIL
71,26,31,56,46.0,184.0,46.0,C,FAIL
54,47,93,98,73.0,292.0,73.0,B+,PASS
59,29,84,79,62.75,251.0,62.75,B,FAIL
53,22,78,11,41.0,164.0,41.0,C,FAIL
36,96,5,86,55.75,223.0,55.75,C+,FAIL
47,70,99,6,55.5,222.0,55.5,C+,FAIL
46,20,1,18,21.25,85.0,21.25,NG,FAIL
10,83,1,60,38.5,154.0,38.5,C,FAIL
97,77,10,19,50.75,203.0,50.75,C+,FAIL
73,48,4,93,54.5,218.0,54.5,C+,FAIL
45,39,26,32,35.5,142.0,35.5,C,FAIL
43,93,46,86,67.0,268.0,67.0,B,PASS
84,71,33,95,70.75,283.0,70.75,B+,FAIL
96,71,96,60,80.75,323.0,80.75,A,PASS
52,14,12,75,38.25,153.0,38.25,C,FAIL
87,7,8,43,36.25,145.0,36.25,C,FAIL
47,15,94,73,57.25,229.0,57.25,C+,FAIL
66,99,98,48,77.75,311.0,77.75,B+,PASS
4,12,60,49,31.25,125.0,31.25,NG,FAIL
16,66,4,15,25.25,101.0,25.25,NG,FAIL
10,53,56,93,53.0,212.0,53.0,C+,FAIL
33,17,93,84,56.75,227.0,56.75,C+,FAIL
79,1,16,29,31.25,125.0,31.25,NG,FAIL
57,31,12,54,38.5,154.0,38.5,C,FAIL
83,2,70,19,43.5,174.0,43.5,C,FAIL
25,44,12,27,27.0,108.0,27.0,NG,FAIL
35,29,94,81,59.75,239.0,59.75,C+,FAIL
35,98,57,12,50.5,202.0,50.5,C+,FAIL
68,93,87,94,85.5,342.0,85.5,A,PASS
52,21,63,12,37.0,148.0,37.0,C,FAIL
52,34,57,63,51.5,206.0,51.5,C+,FAIL
39,50,63,90,60.5,242.0,60.5,B,PASS
72,10,30,98,52.5,210.0,52.5,C+,FAIL
25,41,39,72,44.25,177.0,44.25,C,FAIL
51,93,68,2,53.5,214.0,53.5,C+,FAIL
95,33,93,10,57.75,231.0,57.75,C+,FAIL
9,10,36,56,27.75,111.0,27.75,NG,FAIL
30,14,38,29,27.75,111.0,27.75,NG,FAIL
5,58,93,36,48.0,192.0,48.0,C,FAIL
32,6,95,60,48.25,193.0,48.25,C,FAIL
74,75,24,10,45.75,183.0,45.75,C,FAIL
19,56,19,45,34.75,139.0,34.75,NG,FAIL
36,71,4,63,43.5,174.0,43.5,C,FAIL
40,59,70,95,66.0,264.0,66.0,B,PASS
46,53,96,7,50.5,202.0,50.5,C+,FAIL
24,62,43,44,43.25,173.0,43.25,C,FAIL
25,26,7,67,31.25,125.0,31.25,NG,FAIL
4,65,41,30,35.0,140.0,35.0,C,FAIL
80,54,46,43,55.75,223.0,55.75,C+,PASS
10,16,53,57,34.0,136.0,34.0,NG,FAIL
25,62,16,22,31.25,125.0,31.25,NG,FAIL
31,58,8,24,30.25,121.0,30.25,NG,FAIL
69,92,78,45,71.0,284.0,71.0,B+,PASS
41,7,72,74,48.5,194.0,48.5,C,FAIL
78,26,42,80,56.5,226.0,56.5,C+,FAIL
64,47,79,87,69.25,277.0,69.25,B,PASS
